url,date,rawContent,place,likeCount
https://twitter.com/dedon91/status/1657486835340267522,2023-05-13 20:43:50+00:00,"In honor of Mother’s Day, this is the greatest thing I’ve seen today 😂😂😂
@FCHWPO #bleedgreen https://t.co/ljzn5ELnOb",,4170
https://twitter.com/BriMarieD/status/1657084160773611538,2023-05-12 18:03:45+00:00,Damn fuckin right #UnfinishedBiz #Celtics #Bleedgreen https://t.co/Y93uvj4sup,,884
https://twitter.com/NBCSCeltics/status/1657400311022080000,2023-05-13 15:00:01+00:00,"Always on time 😈

We got Game 7 tomorrow. Who's ready? 

#BleedGreen #BrotherlyLove #BeatPhila #NBAPlayoffs https://t.co/OfptXeQugg",,554
https://twitter.com/BriMarieD/status/1657065225433096192,2023-05-12 16:48:31+00:00,Mood ☺️☺️☺️☘️ #TheJays #Celtics #Bleedgreen https://t.co/kz2h4Azgt7,,248
https://twitter.com/CelticsDev/status/1657476491708444674,2023-05-13 20:02:44+00:00,"Even on my wedding day, I #BleedGreen! 

Today I'm marrying my soul mate and I'm happier than I've ever been in my life. 

Go @celtics &amp; go love! https://t.co/z07TbShXdl",,205
https://twitter.com/BiggLynch/status/1657085429475168256,2023-05-12 18:08:48+00:00,"LOVE THIS TEAM!!! ☘️☘️☘️
Blake is hype af screaming his ass off 🤣😤😤 great win but the job not done gotta come for their necks in game 7!!! Fully believe they are capable of it in Boston or not Celtics in 7 💯 #Celtics #BleedGreen #UnfinishedBusiness #CusRise #Banner18 https://t.co/VvdgBzVG11",,187
https://twitter.com/BriMarieD/status/1657089337677209634,2023-05-12 18:24:19+00:00,"Tatum played with our emotions last night, today he playing with his main man Deuce! 😭🫶🏻 #DadFirst #Deuce #Tatum #Celtics #Bleedgreen 
🎥 Tatum snap https://t.co/pICPPxjmqG",,113
https://twitter.com/DanKelley66/status/1657525139070672902,2023-05-13 23:16:03+00:00,"Tomorrow at this time we will know whether the Boston Celtics or Philadelphia 76ers will be advancing to the Eastern Conference Finals to take on the Miami Heat.

Don’t know about others, but I’m certainly not ready for this Celtics season to be over!
—
#BleedGreen #Celtics☘️ https://t.co/WkEITS9XnB",,101
https://twitter.com/BriMarieD/status/1657427827686342656,2023-05-13 16:49:22+00:00,This photo is staring at me in the face today at work. Need the Cs to get this done tomorrow #BeatPhila #Celtics #Bleedgreen https://t.co/i1rddW2BmX,,91
https://twitter.com/celticsfansfr/status/1657462633707044866,2023-05-13 19:07:40+00:00,"On compte sur toi demain @Jaylen_fr 

#BleedGreen https://t.co/8YFMgv3zmW",,88
https://twitter.com/BrasilKobe/status/1657420799932878849,2023-05-13 16:21:26+00:00,"Eu vou torcer DEMAIS para o Celtics no jogo 7

Temos contas a acertar após aquele ASSALTO em Boston. Com todo respeito ao 76ers, Nuggets e Heat, mas os mais jovens precisam ter a experiência de ver as duas maiores franquias da NBA em uma final.

#LakeShow #BleedGreen https://t.co/imBj1TuxDm",,78
https://twitter.com/Celtics_Col/status/1657244742822903808,2023-05-13 04:41:51+00:00,"🚨 El Game 7️⃣ ya tiene horario para el Domingo, ⏰14:30 Hrs 🇨🇴

El TD Garden va estar completamente lleno, estamos listos para la Guerra!! ⚔️☘️

#BleedGreen https://t.co/w8SkmktDqY",,72
https://twitter.com/ESPNPR/status/1657399967747538945,2023-05-13 14:58:39+00:00,"Sunday, with an Eastern Conference Finals appearance on the line, it's win or go home

@ESPNNBA continues its #NBAPlayoffs coverage with a Game 7 matchup on @ABCNetwork

🏀 2:30p ET | Countdown
🏀 3:30p ET | #BrotherlyLove vs #BleedGreen 
🎙️ Mike Breen, @MarkJackson13, @saltersl https://t.co/j3ixjmgTWL",,68
https://twitter.com/NBCSCeltics/status/1657153446116466688,2023-05-12 22:39:04+00:00,"""They're trying to kill us.""

""It's going to be excruciating. Remotes will be thrown everywhere.""

Early Edition crew is predicting a stressful Game 7 😅 But all still believe in green ☘️ #BleedGreen #Banner18 @trenni @jtomase @ChrisForsberg_
@Marc_Bertrand https://t.co/xj8TUDntDA",,65
https://twitter.com/MikeDynon/status/1657045041452392448,2023-05-12 15:28:18+00:00,"Teammates keeping that same energy. 💚
#BleedGreen #UnfinishedBusiness #Celtics https://t.co/4Ubie1wnDO",,64
https://twitter.com/punt_school/status/1657245668896038912,2023-05-13 04:45:32+00:00,"#NBA 4-0 (+4.36 units) 

The Playoff run continues. Sitting on big market position for a big play in Game 7 - let’s cash &amp; get a #BleedGreen dub one time 🙏🏾 

Hope the Discord degens appreciating this run 🔥",,59
https://twitter.com/DanKelley66/status/1657356398508879873,2023-05-13 12:05:32+00:00,"Wish the Celtics played today.
—
#BleedGreen #NBAPlayoffs https://t.co/obBd4UjXDC",,53
https://twitter.com/Steven_Kessell/status/1657183602168217602,2023-05-13 00:38:54+00:00,@CelticsRiley ☘️ #BleedGreen,,48
https://twitter.com/RochieWBZ/status/1657437015305011209,2023-05-13 17:25:52+00:00,Jayson Tatum putting up shots after Celtics walkthrough/practice Saturday at the Auerbach Center as Boston readies for G7 Sunday vs Philly @tdgarden - #BleedGreen #NBAPlayoffs @wbz https://t.co/5tWSnwRKoR,"Allston - Brighton, Boston",44
https://twitter.com/DutchBoyFresh/status/1657526971566522369,2023-05-13 23:23:20+00:00,"#BleedGreen -6 -120 
The Sixers had their chance, and they let that mf go. Glenn Rivers  &amp; mr. Harden will not go into bean town and win a gm 7. #StayFresh @PubSportsRadio #NBATwitter #gamblingtwitter #TheSesh https://t.co/8gtABjUXIC",,43
https://twitter.com/DozaThreeTwoOne/status/1657421804971933696,2023-05-13 16:25:26+00:00,"Embrace the journey, Celtics Nation! We are blessed to have Jaylen Brown &amp; Jayson Tatum like we were blessed to have RIP DJ &amp; LB.☘💪🏾❤ #BleedGreen #Game7 https://t.co/keDTD0fo4y",,39
https://twitter.com/CelticsAr/status/1657490939361763328,2023-05-13 21:00:09+00:00,"يوم المباراة! 🔥

-🏆 البلاي اوفس | دور 4 | مباراة 7 
-🗓 الأحد 14 مايو
-⏰ 10:30 مساءً مكة المكرمة
-🏀 بوسطن × فيلادليفيا سفنتي سيكسرز
-🚑 دانيلو غاليناري
-📺 @beINSPORTS 
-🏟 @tdgarden 

سنوفر روابط هنا @celticsar18

#BleedGreen https://t.co/XWJnhOlr0t",,38
https://twitter.com/Tatum_diner/status/1657325326228406272,2023-05-13 10:02:04+00:00,"リアタイするか悩みに悩みましたが
解説：大西玲央の文字を見てリアタイすることに決めました(1週間ぶり2度目)
 #BleedGreen 
 #BeatPHILA 
 #NBAダイナー https://t.co/C4MGyT6RhO",,37
https://twitter.com/DanKelley66/status/1657507572625072128,2023-05-13 22:06:14+00:00,"NBA has been giving out the Twyman–Stokes Teammate of the Year Award since 2013. It goes to ""ideal teammate"" who exemplifies ""selfless play and commitment and dedication to his team.""

Derrick White of the Boston Celtics would be an excellent 2023 recipient. ☘️🏆 
—
#BleedGreen",,36
https://twitter.com/codyxv_/status/1657186162396545033,2023-05-13 00:49:04+00:00,@CelticsRiley ☘☘☘ #BleedGreen,,34
https://twitter.com/lizzsilva75/status/1657422280266317824,2023-05-13 16:27:19+00:00,"It’s 5 o’clock somewhere. Happy Saturday, Twitter peeps! #BleedGreen (my coaster is Celtics). Love you guys!! 💚💚💚☘️☘️☘️ https://t.co/ENlF6Y64mH",,32
https://twitter.com/DanKelley66/status/1657459271821344778,2023-05-13 18:54:19+00:00,"Since Jayson Tatum entered the NBA, his NBA Playoffs ranks are:

1st - Points
4th - Rebounds
5th -Wins
5th - Steals
7th - Blocks
8th - Assists

His career playoff averages are 23.3 points, 7.3 rebounds, 4.5 assists, 1.1 steals &amp; 1.0 blocks.

JT is a superstar. ⭐️☘️
—
#BleedGreen",,32
https://twitter.com/DanKelley66/status/1657245764744085505,2023-05-13 04:45:55+00:00,"I said before the season began that only 6 NBA teams could legitimately wind up as 2023 NBA Champions. There are only 2 teams from my list still alive:

☘️Boston Celtics 
🏀Los Angeles Lakers
—
#NBA #NBAPlayoffs #BleedGreen #LakeShow https://t.co/cDYd9VFqLR",,31
https://twitter.com/DanKelley66/status/1657463697625735169,2023-05-13 19:11:54+00:00,"Only 2 Boston Celtics players have averaged at least 1 block and 1 steal per game during their NBA Playoffs career:

☘️ Dino Radja 
☘️ Jayson Tatum

*stats first tracked in 1974
—
#BleedGreen #Celtics https://t.co/yItijVjPVF",,28
